,HasName,OutcomeType,IsCat,IsFemale,AgeuponOutcome,IsIntact
0,1,Return_to_owner,0,0,1.0,0
1,1,Euthanasia,1,1,1.0,0
2,1,Adoption,0,0,2.0,0
3,0,Transfer,1,0,0.1,1
4,0,Transfer,0,0,2.0,0
5,1,Transfer,0,1,0.1,1
6,1,Transfer,1,0,0.1,1
7,0,Transfer,1,-1,0.1,-1
8,1,Adoption,0,1,0.4,0
9,0,Adoption,0,1,1.0,0
10,0,Transfer,1,-1,2.0,-1
11,0,Adoption,0,1,2.0,0
12,1,Adoption,0,0,4.0,0
13,1,Return_to_owner,0,0,2.0,0
14,1,Return_to_owner,0,0,1.0,0
15,1,Adoption,1,0,0.2,0
16,0,Transfer,1,0,0.1,1
17,0,Transfer,0,1,0.0,1
18,1,Transfer,1,1,2.0,1
19,1,Return_to_owner,0,0,1.0,0
20,1,Transfer,0,0,0.2,1
21,1,Transfer,1,1,1.0,0
22,1,Adoption,0,1,2.0,0
23,1,Adoption,0,0,0.8,0
24,1,Return_to_owner,0,0,0.2,0
25,1,Transfer,1,1,0.1,1
26,1,Adoption,0,1,0.5,0
27,1,Adoption,0,1,5.0,0
28,1,Adoption,1,1,0.2,0
29,1,Return_to_owner,1,0,7.0,0
30,0,Euthanasia,1,1,3.0,0
31,1,Transfer,0,0,0.3,1
32,0,Adoption,1,1,0.2,0
33,1,Return_to_owner,0,0,5.0,0
34,1,Transfer,0,0,3.0,0
35,0,Euthanasia,0,0,3.0,1
36,1,Return_to_owner,0,0,3.0,0
37,0,Transfer,1,0,0.2,1
38,1,Transfer,1,0,0.3,0
39,0,Transfer,1,0,0.1,1
40,1,Adoption,1,1,7.0,0
41,0,Transfer,1,0,0.2,1
42,1,Transfer,1,1,0.2,1
43,0,Transfer,1,0,4.0,1
44,1,Adoption,1,0,2.0,0
45,1,Return_to_owner,0,0,12.0,0
46,1,Return_to_owner,1,1,9.0,0
47,0,Transfer,1,1,0.1,1
48,1,Adoption,0,1,0.4,0
49,0,Euthanasia,0,0,6.0,1
50,0,Transfer,1,1,1.0,1
51,1,Adoption,1,1,0.2,0
52,0,Transfer,1,1,0.1,1
53,1,Adoption,0,0,2.0,0
54,1,Adoption,1,1,0.2,0
55,0,Transfer,1,0,0.0,1
56,1,Adoption,1,1,0.2,0
57,0,Transfer,0,0,1.0,1
58,1,Return_to_owner,0,1,4.0,0
59,1,Adoption,0,0,2.0,0
60,1,Transfer,1,0,1.0,1
61,1,Euthanasia,0,1,11.0,0
62,1,Transfer,1,1,0.1,1
63,1,Adoption,0,1,2.0,0
64,0,Transfer,1,-1,0.0,-1
65,1,Return_to_owner,0,1,6.0,0
66,1,Transfer,0,0,0.5,0
67,1,Transfer,0,1,0.2,1
68,0,Transfer,1,-1,0.2,-1
69,1,Adoption,0,1,1.0,0
70,1,Adoption,0,0,0.2,0
71,1,Transfer,0,0,2.0,0
72,0,Adoption,0,1,3.0,0
73,1,Return_to_owner,1,1,1.0,1
74,1,Return_to_owner,0,1,4.0,0
75,1,Transfer,0,1,2.0,0
76,1,Adoption,1,1,0.2,0
77,0,Euthanasia,1,1,1.0,1
78,1,Adoption,0,0,0.2,0
79,0,Transfer,1,1,2.0,0
80,1,Adoption,0,0,1.0,0
81,0,Euthanasia,1,-1,0.0,-1
82,1,Transfer,1,-1,0.1,-1
83,0,Transfer,1,0,2.0,1
84,1,Euthanasia,0,0,12.0,0
85,0,Adoption,0,0,1.0,0
86,1,Adoption,1,0,0.2,0
87,0,Transfer,1,0,0.0,1
88,0,Transfer,0,1,0.2,1
89,0,Adoption,1,1,0.2,0
90,1,Adoption,0,0,0.4,0
91,1,Adoption,0,1,3.0,0
92,1,Transfer,0,1,7.0,0
93,1,Euthanasia,0,1,2.0,0
94,1,Adoption,1,1,0.3,0
95,1,Adoption,0,1,9.0,0
96,1,Transfer,0,0,0.6,0
97,0,Adoption,1,0,0.2,0
98,0,Transfer,1,0,3.0,1
99,0,Adoption,0,0,3.0,0
100,1,Adoption,0,0,5.0,0
101,1,Transfer,0,0,5.0,0
102,0,Transfer,1,1,0.0,1
103,0,Transfer,1,-1,0.0,-1
104,1,Transfer,1,1,4.0,0
105,1,Return_to_owner,0,0,4.0,0
106,1,Adoption,1,0,0.2,0
107,1,Return_to_owner,0,1,2.0,0
108,1,Adoption,0,0,2.0,0
109,1,Return_to_owner,0,0,9.0,0
110,1,Return_to_owner,0,0,5.0,0
111,1,Euthanasia,0,0,1.0,0
112,1,Adoption,0,1,2.0,0
113,0,Transfer,1,0,0.1,1
114,1,Transfer,0,0,0.4,1
115,0,Euthanasia,1,0,6.0,1
116,1,Adoption,0,1,1.0,0
117,1,Transfer,0,0,0.2,1
118,1,Transfer,1,1,0.1,1
119,1,Return_to_owner,0,1,3.0,0
120,1,Return_to_owner,0,0,5.0,0
121,1,Adoption,0,0,8.0,0
122,0,Adoption,0,1,0.2,0
123,0,Euthanasia,1,1,7.0,1
124,1,Adoption,1,1,0.2,1
125,1,Adoption,0,0,5.0,0
126,1,Adoption,0,0,1.0,0
127,0,Transfer,1,0,0.2,1
128,1,Return_to_owner,0,0,2.0,0
129,1,Return_to_owner,0,1,9.0,0
130,1,Adoption,0,1,3.0,0
131,1,Return_to_owner,1,1,3.0,0
132,1,Adoption,0,1,1.0,0
133,1,Transfer,0,1,2.0,0
134,1,Return_to_owner,0,1,1.0,0
135,1,Transfer,1,0,2.0,0
136,1,Return_to_owner,0,1,2.0,0
137,0,Transfer,1,1,2.0,1
138,0,Transfer,1,-1,0.2,-1
139,1,Adoption,0,1,0.1,0
140,0,Adoption,1,0,0.2,0
141,0,Adoption,1,0,0.8,0
142,1,Transfer,1,1,2.0,0
143,1,Adoption,1,1,0.2,0
144,1,Adoption,0,0,0.5,0
145,1,Adoption,1,1,0.2,0
146,0,Adoption,0,1,1.0,0
147,1,Transfer,0,1,0.5,1
148,1,Adoption,1,1,1.0,0
149,0,Transfer,1,0,0.1,1
150,1,Adoption,1,0,2.0,0
151,1,Adoption,0,1,0.9,0
152,0,Transfer,0,0,0.2,0
153,1,Return_to_owner,0,1,2.0,0
154,1,Transfer,0,0,2.0,0
155,1,Adoption,0,0,2.0,0
156,1,Adoption,1,1,0.3,0
157,0,Transfer,0,1,0.3,1
158,0,Transfer,1,1,0.4,1
159,1,Adoption,1,0,0.2,0
160,1,Transfer,0,0,7.0,0
161,1,Adoption,1,0,4.0,0
162,0,Transfer,1,1,0.1,1
163,1,Adoption,0,0,0.5,0
164,1,Adoption,0,1,0.4,1
165,1,Return_to_owner,0,1,8.0,0
166,0,Adoption,1,0,0.2,0
167,1,Adoption,1,1,0.1,0
168,0,Return_to_owner,0,1,0.4,0
169,1,Transfer,1,0,0.1,1
170,0,Transfer,1,0,0.3,1
171,1,Adoption,0,1,1.0,0
172,1,Adoption,0,0,2.0,0
173,1,Transfer,1,1,11.0,0
174,0,Adoption,0,0,0.2,0
175,1,Transfer,1,0,0.2,0
176,1,Adoption,1,1,0.2,1
177,1,Adoption,0,1,0.1,0
178,1,Return_to_owner,0,1,7.0,0
179,0,Transfer,1,0,0.0,1
180,1,Return_to_owner,0,0,4.0,0
181,1,Transfer,0,1,2.0,0
182,1,Return_to_owner,0,1,1.0,0
183,1,Return_to_owner,0,0,2.0,0
184,0,Transfer,1,1,0.1,1
185,1,Transfer,1,1,1.0,1
186,1,Adoption,0,1,2.0,0
187,0,Transfer,1,0,0.8,1
188,1,Transfer,0,1,4.0,0
189,1,Adoption,1,1,0.3,0
190,1,Transfer,0,1,6.0,0
191,0,Adoption,0,1,0.8,0
192,1,Adoption,0,1,3.0,0
193,1,Adoption,1,1,0.7,0
194,1,Adoption,0,1,0.8,0
195,0,Transfer,1,0,1.0,0
196,1,Adoption,0,0,1.0,0
197,1,Adoption,0,0,1.0,0
198,1,Adoption,0,0,0.2,0
199,1,Return_to_owner,0,0,6.0,1
200,0,Transfer,1,-1,1.0,-1
201,1,Return_to_owner,0,0,2.0,0
202,0,Adoption,0,1,5.0,0
203,0,Euthanasia,1,0,12.0,0
204,1,Adoption,0,1,2.0,0
205,1,Adoption,0,0,6.0,0
206,1,Adoption,1,0,0.2,0
207,1,Return_to_owner,0,1,0.7,0
208,1,Transfer,1,0,1.0,0
209,1,Transfer,1,1,15.0,1
210,0,Transfer,0,1,0.1,1
211,1,Adoption,0,0,0.4,0
212,0,Adoption,0,0,2.0,0
213,1,Adoption,0,1,2.0,0
214,1,Return_to_owner,0,0,2.0,1
215,0,Adoption,0,1,2.0,0
216,0,Transfer,1,1,0.1,1
217,1,Transfer,0,1,1.0,0
218,0,Transfer,1,0,2.0,1
219,1,Transfer,1,0,0.1,1
220,1,Transfer,0,0,4.0,0
221,0,Transfer,1,0,0.1,1
222,1,Adoption,1,0,0.2,1
223,1,Transfer,0,1,1.0,0
224,1,Adoption,0,1,0.2,0
225,1,Adoption,0,1,1.0,0
226,0,Adoption,0,1,3.0,0
227,1,Euthanasia,0,0,9.0,0
228,1,Return_to_owner,1,1,2.0,0
229,0,Transfer,0,1,5.0,0
230,1,Return_to_owner,0,0,2.0,1
231,1,Return_to_owner,0,0,2.0,0
232,1,Return_to_owner,0,0,7.0,0
233,0,Transfer,1,1,1.0,1
234,1,Adoption,1,1,6.0,0
235,1,Adoption,1,0,0.2,0
236,1,Return_to_owner,0,1,1.0,0
237,0,Adoption,1,0,0.2,0
238,1,Return_to_owner,0,1,6.0,0
239,0,Transfer,1,0,0.2,1
240,1,Adoption,0,1,2.0,0
241,1,Adoption,1,0,7.0,0
